Toll Date,Detection Group,CRZ Entries
2025-01-28,FDR Drive at 60th St,52379
2025-01-28,Holland Tunnel,37695
2025-01-28,Hugh L. Carey Tunnel,21334
2025-01-28,Lincoln Tunnel,43971
2025-01-28,Manhattan Bridge,28009
2025-01-28,Queens Midtown Tunnel,40874
2025-01-28,Queensboro Bridge,30956
2025-01-28,West 60th St,40935
2025-01-28,West Side Highway at 60th St,43559
2025-01-28,Williamsburg Bridge,39096
2025-01-29,Brooklyn Bridge,31026
2025-01-29,East 60th St,82334
2025-01-29,FDR Drive at 60th St,49095
2025-01-29,Holland Tunnel,38008
2025-01-29,Hugh L. Carey Tunnel,21313
2025-01-29,Lincoln Tunnel,44495
2025-01-29,Manhattan Bridge,27535
2025-01-29,Queens Midtown Tunnel,42399
2025-01-29,Queensboro Bridge,35674
2025-01-29,West 60th St,41738
2025-01-29,West Side Highway at 60th St,45247
2025-01-29,Williamsburg Bridge,40241
2025-01-30,Brooklyn Bridge,30893
2025-01-30,East 60th St,82269
2025-01-30,FDR Drive at 60th St,55758
2025-01-30,Holland Tunnel,40890
2025-01-30,Hugh L. Carey Tunnel,23069
2025-01-30,Lincoln Tunnel,46683
2025-01-30,Manhattan Bridge,30169
2025-01-30,Queens Midtown Tunnel,43268
2025-01-30,Queensboro Bridge,39333
2025-01-30,West 60th St,42575
2025-01-30,West Side Highway at 60th St,46506
2025-01-30,Williamsburg Bridge,41275
2025-01-31,Brooklyn Bridge,29878
2025-01-31,East 60th St,79147
2025-01-31,FDR Drive at 60th St,54988
2025-01-31,Holland Tunnel,39604
2025-01-31,Hugh L. Carey Tunnel,21781
2025-01-31,Lincoln Tunnel,44179
2025-01-31,Manhattan Bridge,29398
2025-01-31,Queens Midtown Tunnel,44621
2025-01-31,Queensboro Bridge,37043
2025-01-31,West 60th St,40416
2025-01-31,West Side Highway at 60th St,43509
2025-01-31,Williamsburg Bridge,40655
2025-02-01,Brooklyn Bridge,30385
2025-02-01,East 60th St,78199
2025-02-01,FDR Drive at 60th St,45174
2025-02-01,Holland Tunnel,39245
2025-02-01,Hugh L. Carey Tunnel,18568
2025-02-01,Lincoln Tunnel,45055
2025-02-01,Manhattan Bridge,29593
2025-02-01,Queens Midtown Tunnel,39685
2025-02-01,Queensboro Bridge,31587
2025-02-01,West 60th St,39095
2025-02-01,West Side Highway at 60th St,41728
2025-02-01,Williamsburg Bridge,41521
2025-02-02,Brooklyn Bridge,27752
2025-02-02,East 60th St,68485
2025-02-02,FDR Drive at 60th St,47320
2025-02-02,Holland Tunnel,38432
2025-02-02,Hugh L. Carey Tunnel,15784
2025-02-02,Lincoln Tunnel,40048
2025-02-02,Manhattan Bridge,26485
2025-02-02,Queens Midtown Tunnel,35443
2025-02-02,Queensboro Bridge,28742
2025-02-02,West 60th St,33389
2025-02-02,West Side Highway at 60th St,33245
2025-02-02,Williamsburg Bridge,39747
2025-02-03,Brooklyn Bridge,27404
2025-02-03,East 60th St,73913
2025-02-03,FDR Drive at 60th St,50174
2025-02-03,Holland Tunnel,36542
2025-02-03,Hugh L. Carey Tunnel,20428
2025-02-03,Lincoln Tunnel,42993
2025-02-03,Manhattan Bridge,25916
2025-02-03,Queens Midtown Tunnel,42287
2025-02-03,Queensboro Bridge,33687
2025-02-03,West 60th St,36765
2025-02-03,West Side Highway at 60th St,40493
2025-02-03,Williamsburg Bridge,35986
2025-02-04,Brooklyn Bridge,30912
2025-02-04,East 60th St,82214
2025-02-04,FDR Drive at 60th St,46710
2025-02-04,Holland Tunnel,37597
2025-02-04,Hugh L. Carey Tunnel,22881
2025-02-04,Lincoln Tunnel,45044
2025-02-04,Manhattan Bridge,28398
2025-02-04,Queens Midtown Tunnel,41635
2025-02-04,Queensboro Bridge,36205
2025-02-04,West 60th St,40709
2025-02-04,West Side Highway at 60th St,44863
2025-02-04,Williamsburg Bridge,38384
2025-02-05,Brooklyn Bridge,29845
2025-02-05,East 60th St,81055
2025-02-05,FDR Drive at 60th St,51105
2025-02-05,Holland Tunnel,38505
2025-02-05,Hugh L. Carey Tunnel,22069
2025-02-05,Lincoln Tunnel,45880
2025-02-05,Manhattan Bridge,29779
2025-02-05,Queens Midtown Tunnel,41855
2025-02-05,Queensboro Bridge,37695
2025-02-05,West 60th St,40979
2025-02-05,West Side Highway at 60th St,47988
2025-02-05,Williamsburg Bridge,39757
2025-02-06,Brooklyn Bridge,28044
2025-02-06,East 60th St,83368
2025-02-06,FDR Drive at 60th St,45287
2025-02-06,Holland Tunnel,36364
2025-02-06,Hugh L. Carey Tunnel,21563
2025-02-06,Lincoln Tunnel,40153
2025-02-06,Manhattan Bridge,28117
2025-02-06,Queens Midtown Tunnel,41917
2025-02-06,Queensboro Bridge,33959
2025-02-06,West 60th St,41222
2025-02-06,West Side Highway at 60th St,41354
2025-02-06,Williamsburg Bridge,39834
2025-02-07,Brooklyn Bridge,29084
2025-02-07,East 60th St,79030
2025-02-07,FDR Drive at 60th St,55597
2025-02-07,Holland Tunnel,39729
