Toll Date,Detection Group,Vehicle Class,CRZ Entries
2025-01-09,Queens Midtown Tunnel,TLC Taxi/FHV,14700
2025-01-09,Queensboro Bridge,"1 - Cars, Pickups and Vans",18836
2025-01-09,Queensboro Bridge,2 - Single-Unit Trucks,2625
2025-01-09,Queensboro Bridge,3 - Multi-Unit Trucks,342
2025-01-09,Queensboro Bridge,4 - Buses,421
2025-01-09,Queensboro Bridge,5 - Motorcycles,110
2025-01-09,Queensboro Bridge,TLC Taxi/FHV,15081
2025-01-09,West 60th St,"1 - Cars, Pickups and Vans",13116
2025-01-09,West 60th St,2 - Single-Unit Trucks,2571
2025-01-09,West 60th St,3 - Multi-Unit Trucks,256
2025-01-09,West 60th St,4 - Buses,1188
2025-01-09,West 60th St,5 - Motorcycles,316
2025-01-09,West 60th St,TLC Taxi/FHV,23474
2025-01-09,West Side Highway at 60th St,"1 - Cars, Pickups and Vans",32050
2025-01-09,West Side Highway at 60th St,2 - Single-Unit Trucks,432
2025-01-09,West Side Highway at 60th St,3 - Multi-Unit Trucks,5
2025-01-09,West Side Highway at 60th St,4 - Buses,687
2025-01-09,West Side Highway at 60th St,5 - Motorcycles,40
2025-01-09,West Side Highway at 60th St,TLC Taxi/FHV,10534
2025-01-09,Williamsburg Bridge,"1 - Cars, Pickups and Vans",21954
2025-01-09,Williamsburg Bridge,2 - Single-Unit Trucks,2234
2025-01-09,Williamsburg Bridge,3 - Multi-Unit Trucks,223
2025-01-09,Williamsburg Bridge,4 - Buses,268
2025-01-09,Williamsburg Bridge,5 - Motorcycles,54
2025-01-09,Williamsburg Bridge,TLC Taxi/FHV,13862
2025-01-10,Brooklyn Bridge,"1 - Cars, Pickups and Vans",17093
2025-01-10,Brooklyn Bridge,2 - Single-Unit Trucks,258
2025-01-10,Brooklyn Bridge,3 - Multi-Unit Trucks,1
2025-01-10,Brooklyn Bridge,4 - Buses,87
2025-01-10,Brooklyn Bridge,5 - Motorcycles,50
2025-01-10,Brooklyn Bridge,TLC Taxi/FHV,10819
2025-01-10,East 60th St,"1 - Cars, Pickups and Vans",31940
2025-01-10,East 60th St,2 - Single-Unit Trucks,4323
2025-01-10,East 60th St,3 - Multi-Unit Trucks,433
2025-01-10,East 60th St,4 - Buses,2086
2025-01-10,East 60th St,5 - Motorcycles,632
2025-01-10,East 60th St,TLC Taxi/FHV,38842
2025-01-10,FDR Drive at 60th St,"1 - Cars, Pickups and Vans",33839
2025-01-10,FDR Drive at 60th St,2 - Single-Unit Trucks,616
2025-01-10,FDR Drive at 60th St,3 - Multi-Unit Trucks,7
